,title,tagline,overview,vote_count,vote_average,release_date,runtime,original_language,spoken_lang_en,spoken_lang_fr,spoken_lang_de,spoken_lang_es,spoken_lang_it,spoken_lang_ja,spoken_lang_ru,spoken_lang_other,Drama,Comedy,Thriller,Romance,Action,Horror,Crime,Documentary,Adventure,Science Fiction,Family,Mystery,Fantasy,Animation,Foreign,Music,History,War,Western,TV Movie,production_companies,production_US,production_GB,production_FR,production_DE,production_IT,production_CA,production_JP,production_other,revenue
2051,"['rosemary', 'baby']","['pray', 'rosemary', 'baby']","['young', 'couple', 'move', 'infamous', 'new', 'york', 'apartment', 'building', 'start', 'family', 'thing', 'become', 'frightening', 'rosemary', 'begin', 'suspect', 'unborn', 'baby', 'safe', 'around', 'strange', 'neighbor']",892.0,7.5,1968-06-12,136.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1003,1,0,0,0,0,0,0,0,33395426.0
2052,"['neverending', 'story']","['boy', 'need', 'friend', 'find', 'world', 'need', 'hero', 'land', 'beyond', 'imagination']","['hiding', 'bully', 'school', 'attic', 'young', 'boy', 'discovers', 'extraordinary', 'land', 'fantasia', 'magical', 'book', 'called', 'neverending', 'story', 'book', 'tell', 'tale', 'atreyu', 'young', 'warrior', 'help', 'luck', 'dragon', 'named', 'falkor', 'must', 'save', 'fantasia', 'destruction', 'nothing']",1031.0,7.0,1984-04-05,102.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,1,0,0,0,0,0,0,0,20158808.0
2053,"['neverending', 'story', 'ii', 'next', 'chapter']","['begin', 'new', 'adventure', 'young', 'boy', 'return', 'world', 'wonder', 'wing', 'imagination']","['bastian', 'transported', 'world', 'fantasia', 'recently', 'managed', 'save', 'destruction', 'however', 'land', 'destroyed', 'evil', 'sorceress', 'xayide', 'must', 'join', 'atreyu', 'face', 'emptiness']",193.0,5.5,1990-10-24,89.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,0,0,0,0,0,0,0,0,16283667.0
2056,"['friend', 'neighbor']","['modern', 'immorality', 'tale']","['adult', 'comedy', 'follows', 'six', 'character', 'three', 'men', 'three', 'woman', 'crosssection', 'social', 'group', 'play', 'sexual', 'power', 'game', 'affair', 'fire', '2', 'married', 'character', 'spark', 'chain', 'consequence', 'including', 'one', 'wife', 'falling', 'another', 'woman']",17.0,5.9,1998-02-04,100.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,1,0,0,0,0,0,0,0,4710749.0
2058,['blade'],"['part', 'man', 'part', 'vampire', 'hero']","['blade', 'mother', 'bitten', 'vampire', 'pregnancy', 'know', 'gave', 'son', 'special', 'gift', 'dying', 'good', 'vampire', 'attribute', 'combination', 'best', 'human', 'skill', 'blade', 'mentor', 'whistler', 'battle', 'evil', 'vampire', 'rebel', 'deacon', 'frost', 'plan', 'take', 'outdated', 'vampire', 'council', 'capture', 'blade', 'resurrect', 'voracious', 'blood', 'god', 'la', 'magra']",1950.0,6.5,1998-08-21,120.0,en,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,277,1,0,0,0,1,0,0,0,131183530.0
2059,['dance'],"['dance', 'life', 'love', 'happen', 'heartbeat']","['young', 'cuban', 'rafael', 'buried', 'mother', 'come', 'houston', 'meet', 'father', 'john', 'first', 'time', 'difficult', 'part', 'john', 'know', 'rafaels', 'father', 'john', 'run', 'dance', 'studio', 'everyone', 'prepares', 'world', 'open', 'dance', 'championship', 'la', 'vega', 'soon', 'becomes', 'clear', 'rafael', 'good', 'dancer', 'ruby', 'biggest', 'hope', 'studio', 'championship']",24.0,5.6,1998-08-21,126.0,en,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,431,0,0,1,1,0,0,0,1,15.0
2065,['beetlejuice'],"['he', 'guaranteed', 'put', 'life', 'afterlife']","['thanks', 'untimely', 'demise', 'via', 'drowning', 'young', 'couple', 'end', 'poltergeist', 'new', 'england', 'farmhouse', 'fail', 'meet', 'challenge', 'scaring', 'away', 'insufferable', 'new', 'owner', 'want', 'make', 'drastic', 'change', 'desperation', 'undead', 'newlywed', 'turn', 'expert', 'frightmeister', 'he', 'got', 'diabolical', 'agenda']",1475.0,7.1,1988-02-29,92.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,0,0,0,0,1,0,0,0,73326666.0
2067,['rope'],[],"['two', 'young', 'men', 'strangle', 'inferior', 'classmate', 'hide', 'body', 'apartment', 'invite', 'friend', 'family', 'dinner', 'party', 'mean', 'challenge', 'perfection', 'crime']",539.0,7.8,1948-08-23,80.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,1,0,0,0,0,0,0,0,2200000.0
2068,"['family', 'plot']","['there', 'body', 'family', 'plot']","['lighthearted', 'suspense', 'film', 'phony', 'psychiccon', 'artist', 'taxi', 'driverprivate', 'investigator', 'boyfriend', 'encounter', 'pair', 'serial', 'kidnapper', 'trailing', 'missing', 'heir', 'california']",86.0,6.7,1976-04-09,121.0,en,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,830,1,0,0,0,0,0,0,0,7900000.0
2069,['frenzy'],"['ordinary', 'necktie', 'used', 'deadly', 'new', 'twist']","['serial', 'murderer', 'strangling', 'woman', 'necktie', 'london', 'police', 'suspect', 'wrong', 'man']",162.0,7.2,1972-05-25,116.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,830,1,0,0,0,0,0,0,0,12600000.0
2070,['topaz'],"['hitchcock', 'take', 'behind', 'actual', 'headline', 'expose', 'explosive', 'spy', 'scandal', 'century']","['french', 'intelligence', 'agent', 'becomes', 'embroiled', 'cold', 'war', 'politics', 'first', 'uncovering', 'event', 'leading', '1962', 'cuban', 'missle', 'crisis', 'back', 'france', 'break', 'international', 'russian', 'spy', 'ring']",78.0,6.1,1969-12-18,143.0,en,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,830,1,0,0,0,0,0,0,0,6000000.0
2071,"['torn', 'curtain']","['tear', 'apart', 'suspense']","['american', 'scientist', 'publicly', 'defect', 'east', 'germany', 'part', 'cloak', 'dagger', 'mission', 'find', 'solution', 'formula', 'resin', 'figuring', 'plan', 'escape', 'back', 'west']",120.0,6.4,1966-07-13,128.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,830,1,0,0,0,0,0,0,0,13000000.0
2072,['marnie'],"['thief', 'liar', 'cheat', 'knew']","['marnie', 'beautiful', 'kleptomaniac', 'love', 'businessman', 'mark', 'rutland', 'marnie', 'compulsive', 'thief', 'watched', 'new', 'bos', 'mark', 'suspect', 'stealing', 'thus', 'decides', 'blackmail', 'unusual', 'way', 'psychological', 'thriller', 'alfred', 'hitchcock', 'based', 'novel', 'name', 'winston', 'graham']",233.0,7.2,1964-07-09,130.0,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,830,1,0,0,0,0,0,0,0,7000000.0
2073,"['wrong', 'man']","['somewheresomewhere', 'must', 'right', 'man']","['true', 'story', 'innocent', 'man', 'mistaken', 'criminal']",105.0,6.9,1956-12-22,105.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,1,0,0,0,0,0,0,0,2000000.0
2074,"['man', 'knew', 'much']","['little', 'knowledge', 'deadly', 'thing']","['widescreen', 'technicolor', 'remake', 'hitchcock', '1934', 'film', 'title', 'couple', 'james', 'stewart', 'doris', 'day', 'vacationing', 'morocco', 'young', 'son', 'accidentally', 'stumble', 'upon', 'assassination', 'plot', 'child', 'kidnapped', 'ensure', 'silence', 'take', 'matter', 'hand', 'save']",276.0,7.3,1956-06-01,120.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1003,1,0,0,0,0,0,0,0,10250000.0
2075,"['trouble', 'harry']","['thriller', 'difference']","['trouble', 'erupts', 'small', 'quiet', 'new', 'england', 'town', 'man', 'body', 'found', 'wood', 'problem', 'almost', 'everyone', 'town', 'think', 'something', 'death']",152.0,6.9,1955-10-03,99.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1003,1,0,0,0,0,0,0,0,7000000.0
2077,"['stranger', 'train']","['start', 'shriek', 'train', 'whistleand', 'end', 'shrieking', 'excitement']","['psychotic', 'socialite', 'confronts', 'pro', 'tennis', 'star', 'theory', 'two', 'complete', 'stranger', 'get', 'away', 'murdera', 'theory', 'plan', 'implement']",379.0,7.6,1951-06-18,101.0,en,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,1,0,0,0,0,1,0,0,7000000.0
2079,['54'],"['never', 'anywhere']","['shane', 'jersey', 'boy', 'big', 'dream', 'cross', 'river', 'hope', 'finding', 'exciting', 'life', 'studio', '54', 'steve', 'rubell', 'mastermind', 'behind', 'infamous', 'disco', 'pluck', 'shane', 'sea', 'face', 'clamoring', 'get', 'inside', 'club', 'shane', 'get', 'foot', 'door', 'land', 'coveted', 'job', 'behind', 'bar', 'frontrow', 'seat', 'legendary', 'party', 'planet']",138.0,5.5,1998-08-28,106.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,1,0,0,0,0,0,0,0,16757163.0
2080,"['married', 'strange', 'person']",[],"['newlywed', 'develops', 'strange', 'lump', 'neck', 'give', 'ability', 'transform', 'people', 'object', 'wife', 'upset', 'meanwhile', 'ceo', 'smilecorp', 'learns', 'man', 'ability', 'see', 'way', 'achieve', 'world', 'domination', 'man', 'taken', 'alive', 'animated', 'movie', 'bill', 'plympton']",12.0,7.5,1998-08-28,72.0,en,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,203.0
2081,"['fool', 'fall', 'love']","['story', 'three', 'different', 'womenwith', 'one', 'husband', 'common']","['mid80s', 'three', 'woman', 'attorney', 'arrive', 'office', 'new', 'york', 'entertainment', 'manager', 'morris', 'levy', 'one', 'la', 'singer', 'formerly', 'platter', 'one', 'petty', 'thief', 'philly', 'one', 'teach', 'school', 'small', 'georgia', 'town', 'claim', 'widow', 'longdead', 'doowop', 'singersongwriter', 'frankie', 'lyman', 'want', 'year', 'royalty', 'due', 'estate', 'money', 'levy', 'never', 'shared', 'ensuing', 'civil', 'trial', 'flashback', 'tell', 'story', 'one', 'life', 'lyman', 'boyish', 'highpitched', 'dynamic', 'performer', 'lost', 'heroin', 'slowly', 'three', 'wife', 'establish', 'bond']",12.0,6.4,1998-08-28,116.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,1,0,0,0,0,0,0,0,12413650.0
2084,['willow'],"['adventure', 'come', 'bigger']","['fearful', 'prophecy', 'stating', 'girl', 'child', 'born', 'bring', 'downfall', 'evil', 'queen', 'bavmorda', 'imprisons', 'pregnant', 'woman', 'within', 'formidable', 'stronghold', 'nockmaar', 'child', 'elora', 'danan', 'born', 'nockmaar', 'dungeon', 'identified', 'prophesied', 'child', 'birthmark', 'arm', 'however', 'black', 'sorceress', 'arrives', 'claim', 'child', 'eloras', 'mother', 'convinces', 'reluctant', 'midwife', 'escape', 'baby', 'willow', 'timid', 'farmer', 'aspiring', 'sorcerer', 'entrusted', 'delivering', 'royal', 'infant', 'evil']",484.0,6.9,1988-05-01,126.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1076,1,1,0,0,0,0,0,0,57269863.0
2085,['untouchable'],['prepared'],"['young', 'treasury', 'agent', 'elliot', 'ness', 'arrives', 'chicago', 'determined', 'take', 'al', 'capone', 'going', 'easy', 'capone', 'police', 'pocket', 'ness', 'meet', 'jimmy', 'malone', 'veteran', 'patrolman', 'probably', 'honorable', 'one', 'force', 'asks', 'malone', 'help', 'get', 'capone', 'malone', 'warns', 'go', 'capone', 'going', 'war']",1424.0,7.6,1987-06-02,119.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1003,1,0,0,0,0,0,0,0,76270454.0
2097,['suspicion'],"['arm', 'felt', 'safetyin', 'absence', 'haunting', 'dread']","['wealthy', 'sheltered', 'joan', 'fontaine', 'swept', 'foot', 'charming', 'neerdowell', 'cary', 'grant', 'though', 'warned', 'grant', 'little', 'fortunehunter', 'fontaine', 'marries', 'anyway', 'remains', 'loyal', 'irresponsible', 'husband', 'plow', 'way', 'one', 'disreputable', 'business', 'scheme', 'another', 'gradually', 'fontaine', 'come', 'conclusion', 'grant', 'intends', 'away', 'order', 'collect', 'inheritancea', 'suspicion', 'confirmed', 'grant', 'likeable', 'business', 'partner', 'nigel', 'bruce', 'dy', 'mysterious', 'circumstance', 'dying', 'day', 'hitchcock', 'insisted', 'wanted', 'retain', 'novelist', 'francis', 'iles', 'original', 'ending', 'rko', 'executive', 'intervened', 'fontaine', 'academy', 'award', 'work']",140.0,7.1,1941-11-14,99.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,290,1,0,0,0,0,0,0,0,4500000.0
2120,['rounder'],"['trust', 'everyone', 'always', 'cut', 'card']","['young', 'man', 'reformed', 'gambler', 'must', 'return', 'playing', 'big', 'stake', 'poker', 'help', 'friend', 'pay', 'loan', 'shark']",451.0,6.9,1998-09-11,121.0,en,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,183,0,0,0,1,0,0,0,1,22921898.0
2121,['cube'],"['look', 'reason', 'look', 'way']","['seven', 'stranger', 'taken', 'daily', 'life', 'placed', 'mysteriously', 'deadly', 'cube', 'agree', 'must', 'find', 'way']",1101.0,6.9,1997-09-09,90.0,en,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55,0,0,1,0,0,1,0,0,501818.0
2122,"['digging', 'china']","['two', 'innocent', 'outcast', 'one', 'incredible', 'friendship']","['harriet', 'tenyear', 'old', 'girl', 'life', 'together', 'big', 'sister', 'alcoholic', 'mother', 'countryside', 'family', 'run', 'motel', 'harriet', 'different', 'others', 'owns', 'great', 'creativity', 'nobody', 'play', 'infinite', 'world', 'exists', 'mind', 'one', 'day', 'ricky', 'come', 'along', 'grownup', 'retarded', 'son', 'elderly', 'lady', 'soon', 'harriet', 'ricky', 'share', 'experience', 'life', 'different', 'point', 'view', 'become', 'close', 'friend', 'mother', 'still', 'plan', 'give', 'ricky', 'away', 'professional', 'care', 'home', 'live', 'forever']",10.0,6.5,1997-07-07,98.0,en,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,1,33556.0
2125,"['simon', 'birch']","['destiny', 'big', 'plan', 'little', 'simon', 'birch']","['simon', 'birch', 'tell', 'story', 'joe', 'simon', 'heartwarming', 'journey', 'friendship', 'simon', 'birch', 'born', 'condition', 'make', 'much', 'smaller', 'kid', 'town', 'due', 'condition', 'simon', 'think', 'god', 'made', 'way', 'reason', 'highly', 'belief', 'god', 'together', 'joe', 'simon', 'go', 'journey', 'trust', 'friendship', 'find', 'answer', 'many', 'thing', 'friendship', 'put', 'test', 'unfortunate', 'event', 'happen']",52.0,6.5,1998-09-11,114.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84,1,0,0,0,0,0,0,0,18253415.0
2126,"['without', 'limit']","['pre', 'way', 'competed', 'way', 'lived', 'life']","['film', 'follows', 'life', 'famous', '1970s', 'runner', 'steve', 'prefontaine', 'youth', 'day', 'oregon', 'university', 'oregon', 'worked', 'legendary', 'coach', 'bill', 'bowerman', 'later', 'olympics', 'munich', 'early', 'death', '24', 'car', 'crash']",20.0,6.4,1998-09-11,117.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,1,0,0,0,0,0,0,0,777423.0
2129,['bodyguard'],"['terrorized', 'toilet', 'chased', 'school', 'shaken', 'lunch', 'money', 'get', 'bodyguard']","['clifford', 'peach', 'chris', 'makepeace', 'easygoing', 'teenager', 'finding', 'le', 'easy', 'fit', 'new', 'high', 'school', 'toughtalking', 'bully', 'matt', 'dillon', 'terrorizes', 'classmate', 'extorts', 'lunch', 'money', 'refusing', 'pay', 'clifford', 'enlist', 'aid', 'overgrown', 'misfit', 'whose', 'mere', 'presence', 'intimidates', 'student', 'teacher', 'alike', 'business', 'relationship', 'soon', 'turn', 'personal', 'clifford', 'troubled', 'loner', 'forge', 'winning', 'alliance', 'intimidators', 'special', 'friendship', 'ruth', 'gordon', 'martin', 'mull', 'joan', 'cusack', 'john', 'houseman', 'round', 'truly', 'remarkable', 'cast', 'variety', 'delightful', 'comingofage', 'comedy', 'triumphant', 'tribute', 'underdog']",31.0,6.2,1980-07-11,96.0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,836,1,0,0,0,0,0,0,0,22482952.0
2132,"['broadcast', 'news']","['story', 'life']","['basketcase', 'network', 'news', 'producer', 'jane', 'craig', 'fall', 'new', 'reporter', 'tom', 'grunnick', 'pretty', 'boy', 'represents', 'trend', 'towards', 'entertainment', 'news', 'despises', 'aaron', 'altman', 'talented', 'plain', 'correspondent', 'carry', 'unrequited', 'torch', 'jane', 'spark', 'fly', 'three', 'network', 'prepares', 'big', 'change', 'news', 'jane', 'must', 'decide', 'style', 'substance']",101.0,6.8,1987-12-16,133.0,en,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,836,1,1,0,0,0,0,0,0,51249404.0
2134,"['working', 'girl']","['anyone', 'ever', 'anyone', 'ever', 'lost', 'everyone', 'still', 'trying']","['witty', 'romantic', 'look', 'life', 'corporate', 'jungle', 'te', 'mcgill', 'ambitious', 'secretary', 'unique', 'approach', 'climbing', 'ladder', 'success', 'classy', 'villainous', 'bos', 'break', 'leg', 'skiing', 'te', 'take', 'office', 'apartment', 'even', 'wardrobe', 'creates', 'deal', 'handsome', 'investment', 'banker', 'either', 'take', 'top', 'finish', 'good']",242.0,6.5,1988-12-20,114.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,836,1,0,0,0,0,0,0,0,103173635.0
2136,"['married', 'mob']","['family', 'whether', 'like']","['angela', 'de', 'marco', 'fed', 'gangster', 'husband', 'line', 'work', 'want', 'part', 'crime', 'world', 'husband', 'killed', 'affair', 'mistress', 'mob', 'bos', 'tony', 'tiger', 'russo', 'angela', 'son', 'depart', 'new', 'york', 'city', 'make', 'fresh', 'start', 'unfortunately', 'tony', 'set', 'sight', 'upon', 'angela', 'undercover', 'fbi', 'agent', 'looking', 'use', 'bust', 'tony']",67.0,5.8,1988-08-19,104.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,111,1,0,0,0,0,0,0,0,21486757.0
2137,"['say', 'anything']","['know', 'lloyd', 'dobler', 'love', 'diane', 'court', 'know', 'lloyd', 'dobler']","['budding', 'romance', 'noble', 'underachiever', 'lloyd', 'dobler', 'high', 'school', 'valedictorian', 'diane', 'court', 'threatened', 'dianes', 'overly', 'possessive', 'disapproving', 'father', 'interferes', 'relationship', 'prized', 'scholarship', 'study', 'abroad', 'hanging', 'balance', 'diane', 'must', 'find', 'way', 'make', 'men', 'happy']",244.0,7.2,1989-04-14,100.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,836,1,0,0,0,0,0,0,0,20036737.0
2142,['toy'],"['laughter', 'state', 'mind']","['leslie', 'zevo', 'funloving', 'inventor', 'must', 'save', 'late', 'father', 'toy', 'factory', 'evil', 'uncle', 'leland', 'warmongering', 'general', 'rule', 'operation', 'iron', 'fist', 'build', 'weapon', 'disguised', 'toy']",173.0,5.0,1992-12-18,118.0,en,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,836,1,0,0,0,0,0,0,0,23278931.0
2144,"['young', 'doctor', 'love']","['warning', 'movie', 'may', 'dangerous', 'health', 'may', 'never', 'stop', 'laughing']","['airplanestyle', 'spoof', 'hospital', 'soap', 'opera', 'brilliant', 'young', 'trainee', 'stand', 'sight', 'blood', 'doctor', 'romance', 'head', 'nurse', 'order', 'get', 'key', 'drug', 'cabinet', 'mafioso', 'loose', 'disguised', 'woman', 'word', 'usual', 'ingredient', 'present', 'correct', 'though', 'case', 'laugh', 'intentional']",13.0,5.2,1982-07-16,96.0,en,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,836,0,0,0,0,0,0,0,1,30688860.0
2145,['parasite'],"['feel', 'terror', 'experience', 'movie']","['paul', 'dean', 'created', 'deadly', 'parasite', 'attached', 'stomach', 'female', 'companion', 'patricia', 'welles', 'must', 'find', 'way', 'destroy', 'also', 'trying', 'avoid', 'ricus', 'redneck', 'evil', 'government', 'agent', 'named', 'merchant']",8.0,5.1,1982-03-12,85.0,en,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,7000000.0
2147,"['blame', 'rio']","['shes', 'hottest', 'thing', 'beach', 'shes', 'also', 'best', 'friend', 'daughter']","['matthew', 'hollis', 'man', 'holiday', 'rio', 'best', 'friend', 'men', 'teenage', 'daughter', 'matthew', 'fall', 'best', 'friend', 'amorous', 'daughter', 'named', 'jennifer', 'embark', 'secret', 'slightly', 'onesided', 'relationship', 'jennifers', 'father', 'furious', 'find', 'older', 'man', 'daughter', 'life', 'set', 'hunt', 'aid', 'matthew']",49.0,5.9,1984-02-17,100.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,18600000.0
2150,"['last', 'night']","['making', 'love', 'easybeing', 'love', 'difficult']","['man', 'woman', 'meet', 'try', 'romantic', 'affair', 'despite', 'personal', 'problem', 'interference', 'disapproving', 'friend']",51.0,5.6,1986-07-02,113.0,en,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,0,0,0,0,0,0,0,0,38702310.0
2151,"['seventh', 'sign']","['seal', 'broken', 'prophecy', 'begun', 'one', 'woman', 'halt', 'end', 'world']","['abby', 'pregnant', 'woman', 'curious', 'new', 'boarder', 'apartment', 'garage', 'turn', 'he', 'heavensent', 'speeding', 'along', 'apocalypse', 'bloodying', 'river', 'egging', 'plague', 'following', 'scripture', 'word', 'word']",79.0,5.9,1988-04-01,97.0,en,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,197,0,0,1,1,1,0,0,1,18875011.0
2153,"['nothing', 'trouble']","['wanted', 'little', 'getaway', 'got', 'nothing', 'trouble']","['attempting', 'seduce', 'gorgeous', 'lawyer', 'diane', 'lightson', 'wealthy', 'gadabout', 'chris', 'thorne', 'agrees', 'drive', 'atlantic', 'city', 'nj', 'reckless', 'driving', 'draw', 'attention', 'deeply', 'critical', 'cop', 'flamboyant', 'brazillionaires', 'tagged', 'along', 'end', 'court', 'grotesque', 'vengeful', 'judge', 'special', 'vendetta', 'wealthy', 'erudite']",88.0,5.0,1991-02-14,94.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1250,1,0,0,0,0,0,0,0,8479793.0
2156,"['good', 'men']",[],"['cocky', 'military', 'lawyer', 'lt', 'daniel', 'kaffee', 'cocounsel', 'lt', 'cmdr', 'joanne', 'galloway', 'assigned', 'murder', 'case', 'uncover', 'hazing', 'ritual', 'could', 'implicate', 'highranking', 'official', 'shady', 'col', 'nathan', 'jessep']",899.0,7.1,1992-12-11,138.0,en,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,243240178.0
2157,"['indecent', 'proposal']","['husband', 'wife', 'millionaire', 'proposal']","['robert', 'redford', 'star', 'billionaire', 'john', 'gage', 'offer', 'downonhisluck', 'yuppie', 'husband', 'woody', 'harrelson', '1', 'million', 'opportunity', 'spend', 'night', 'man', 'wife', 'demi', 'moore']",300.0,5.8,1993-04-07,117.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1003,1,0,0,0,0,0,0,0,266614059.0
2160,"['rush', 'hour']","['fastest', 'hand', 'east', 'meet', 'biggest', 'mouth', 'west']","['hong', 'kong', 'inspector', 'lee', 'summoned', 'los', 'angeles', 'investigate', 'kidnapping', 'fbi', 'want', 'outside', 'help', 'assigns', 'cocky', 'lapd', 'detective', 'james', 'carter', 'distract', 'lee', 'case', 'content', 'watch', 'action', 'sideline', 'lee', 'carter', 'form', 'unlikely', 'partnership', 'investigate', 'case']",1254.0,6.8,1998-09-18,98.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,277,1,0,0,0,0,0,0,0,244386864.0
2162,"['sixstring', 'samurai']","['vega', 'need', 'new', 'king']","['postapocalyptic', 'world', 'russian', 'taken', 'nuked', 'usa', 'elvis', 'king', 'lost', 'vega', 'buddy', '50', 'rocker', 'wandering', 'warrior', 'rolled', 'one', 'toocool', 'package', 'armed', 'sixstring', 'one', 'hand', 'sword', 'buddy', 'way', 'vega', 'succeed', 'elvis', 'king', 'along', 'way', 'save', 'orphan', 'decides', 'tag', 'along']",36.0,5.8,1998-09-18,91.0,en,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,124494.0
